,0
0,1
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,1
91,0
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,0
116,0
117,0
118,1
119,1
120,0
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,0
218,0
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,1
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,1
301,0
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,0
320,0
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,0
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,1
339,1
340,0
341,1
342,0
343,1
344,1
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,1
366,1
367,1
368,0
369,1
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,1
381,1
382,0
383,0
384,1
385,0
386,1
387,1
388,0
389,0
390,1
391,0
392,1
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,1
401,0
402,1
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,0
423,0
424,1
425,1
426,1
427,0
428,0
429,1
430,1
431,0
432,1
433,1
434,1
435,0
436,0
437,0
438,1
439,0
440,1
441,0
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,0
456,0
457,0
458,0
459,0
460,1
461,1
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,1
475,1
476,0
477,1
478,1
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,1
487,0
488,0
489,1
490,1
491,0
492,0
493,1
494,1
495,1
496,0
497,0
498,1
499,0
500,0
501,0
502,1
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,0
522,0
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,0
532,1
533,1
534,1
535,1
536,0
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,0
547,1
548,0
549,0
550,1
551,1
552,0
553,0
554,0
555,0
556,1
557,1
558,1
559,0
560,0
561,1
562,0
563,0
564,1
565,1
566,1
567,1
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,1
581,0
582,1
583,1
584,1
585,0
586,0
587,0
588,1
589,0
590,0
591,1
592,1
593,1
594,0
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,0
603,0
604,1
605,0
606,1
607,1
608,0
609,1
610,1
611,1
612,0
613,1
614,0
615,1
616,1
617,1
618,0
619,1
620,1
621,0
622,1
623,0
624,0
625,0
626,1
627,1
628,0
629,1
630,1
631,1
632,0
633,1
634,0
635,1
636,1
637,0
638,0
639,1
640,0
641,1
642,1
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,1
659,1
660,0
661,0
662,0
663,0
664,1
665,1
666,0
667,0
668,1
669,0
670,0
671,0
672,0
673,1
674,1
675,1
676,0
677,1
678,0
679,1
680,0
681,0
682,0
683,1
684,0
685,1
686,0
687,0
688,1
689,1
690,1
691,0
692,1
693,0
694,1
695,0
696,0
697,0
698,1
699,1
700,1
701,0
702,0
703,0
704,1
705,1
706,0
707,1
708,0
709,0
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,0
718,1
719,0
720,1
721,1
722,1
723,1
724,1
725,1
726,0
727,1
728,1
729,0
730,1
731,0
732,0
733,1
734,1
735,1
736,1
737,0
738,1
739,0
740,1
741,1
742,0
743,1
744,0
745,1
746,1
747,1
748,1
749,0
750,1
751,1
752,0
753,1
754,0
755,0
756,1
757,0
758,1
759,1
760,1
761,1
762,0
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,1
772,0
773,1
774,0
775,1
776,1
777,0
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,1
787,1
788,1
789,1
790,0
791,1
792,0
793,0
794,1
795,0
796,1
797,1
798,1
799,0
800,1
801,1
802,0
803,1
804,0
805,1
806,1
807,0
808,0
809,1
810,0
811,0
812,1
